system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,NDVI,Rainfall,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,Soil_pH,.geo,Season,ADM2_NAME_clean,dominant_crop
000200000000000002aa,115,India,1508,Tamil Nadu,17869,Virudhunagar,NO,3000,0.39265,0.248000011779368,Member State,1000,0.35316306795,4.51460960926,74,"{""type"":""Point"",""coordinates"":[77.89432175350126,9.480618900781991]}",Zaid,virudhunagar,MILLET
000200000000000002ab,115,India,1508,Tamil Nadu,17870,Kanniyakumari,NO,3000,0.723566666666667,0.512000020593405,Member State,1000,0.130661789069,2.1294837608,59,"{""type"":""Point"",""coordinates"":[77.34637019260624,8.305972569456024]}",Zaid,kanniyakumari,BANANA
000200000000000002ac,115,India,1508,Tamil Nadu,17873,Nilgiris,NO,3000,0.5154,0.428000006359071,Member State,1000,0.210944084628,2.81492255959,59,"{""type"":""Point"",""coordinates"":[76.63283590199896,11.448396149550584]}",Zaid,nilgiris,TEA_COFFEE
000200000000000002ad,115,India,1508,Tamil Nadu,17875,Erode,NO,3000,0.34685,0.321000013500452,Member State,1000,0.677012368805,7.07470994419,75,"{""type"":""Point"",""coordinates"":[77.44716714204291,11.319053813623576]}",Zaid,erode,SUGARCANE
000200000000000002ae,115,India,1508,Tamil Nadu,17876,Pudukkottai,NO,3000,0.367666666666667,0.205000008339994,Member State,1000,0.387176357264,5.35607983488,73,"{""type"":""Point"",""coordinates"":[78.86672971170155,10.341973123520777]}",Zaid,pudukkottai,GROUNDNUT
000200000000000002af,115,India,1508,Tamil Nadu,17877,Dindigul,NO,3000,0.572583333333333,0.265000016312115,Member State,1000,0.500039771098,5.26896936269,64,"{""type"":""Point"",""coordinates"":[77.80497188066614,10.37928108469608]}",Zaid,dindigul,MILLET
000200000000000002b0,115,India,1508,Tamil Nadu,17878,Ramanathapuram,NO,3000,0.37695,0.211000009439886,Member State,1000,0.350762859417,6.4693550538,73,"{""type"":""Point"",""coordinates"":[78.67987474196862,9.442707317145416]}",Zaid,ramanathapuram,GROUNDNUT
000200000000000002b1,115,India,1508,Tamil Nadu,17879,Salem,NO,3000,0.367233333333333,0.272000002674758,Member State,1997,0.431988831013,5.78292693653,67,"{""type"":""Point"",""coordinates"":[78.20926614926434,11.663196865946146]}",Zaid,salem,TAPIOCA
000200000000000002b2,115,India,1508,Tamil Nadu,17881,Thanjavur,NO,3000,0.519483333333333,0.175000002142042,Member State,1997,0.280270022706,5.24109463304,70,"{""type"":""Point"",""coordinates"":[79.22358692494085,10.65500919913554]}",Zaid,thanjavur,PADDY
000200000000000002b3,115,India,1508,Tamil Nadu,17882,Sivaganga,NO,3000,0.45065,0.209000015165657,Member State,1000,0.335222973702,5.63595606671,70,"{""type"":""Point"",""coordinates"":[78.5759340462308,9.906949469028845]}",Zaid,sivaganga,MILLET
000200000000000002b4,115,India,1508,Tamil Nadu,17883,Tiruchchirappalli,NO,3000,0.51155,0.2230000118725,Member State,1996,0.372450946903,6.67181759369,72,"{""type"":""Point"",""coordinates"":[78.55481341082601,10.876525194341076]}",Zaid,tiruchirappalli,COTTON
000200000000000002b5,115,India,1508,Tamil Nadu,17884,Tirunelveli Kattabo,NO,3000,0.43315,0.342000020667911,Member State,1000,0.556597310014,5.40853619253,66,"{""type"":""Point"",""coordinates"":[77.52329859119448,8.78972333344816]}",Zaid,tirunelveli,BANANA
000200000000000002b6,115,India,1508,Tamil Nadu,70241,Ariyalur,NO,3000,0.420566666666667,0.160000007366762,Member State,2000,0.161429227865,2.24030841617,70,"{""type"":""Point"",""coordinates"":[79.22812763262219,11.14668989832722]}",Zaid,ariyalur,COTTON
000200000000000002b7,115,India,1508,Tamil Nadu,70242,Chennai,NO,3000,0.271516666666667,0.0820000016828999,Member State,1000,0.0163244843722,0.743297183114,,"{""type"":""Point"",""coordinates"":[80.23506504131059,13.047687347069402]}",Zaid,chennai,VEGETABLES
000200000000000002b8,115,India,1508,Tamil Nadu,70243,Cuddalore,NO,3000,0.294966666666667,0.116000004112721,Member State,1994,0.316479117442,4.04293793196,68,"{""type"":""Point"",""coordinates"":[79.44550010022122,11.525236799906601]}",Zaid,cuddalore,GROUNDNUT
000200000000000002b9,115,India,1508,Tamil Nadu,70244,Kancheepuram,NO,3000,0.47515,0.0770000065676868,Member State,1999,0.389010151794,3.92460831647,69,"{""type"":""Point"",""coordinates"":[79.93677979721936,12.68033399148968]}",Zaid,kancheepuram,VEGETABLES
000200000000000002ba,115,India,1508,Tamil Nadu,70245,Karur,NO,3000,0.28295,0.250000005122274,Member State,1996,0.238860504012,3.92636313878,73,"{""type"":""Point"",""coordinates"":[78.11840965817103,10.831814271415904]}",Zaid,karur,MAIZE
000200000000000002bb,115,India,1508,Tamil Nadu,70246,Madurai,NO,3000,0.4378,0.253000016789883,Member State,1997,0.304005356752,4.39035637272,76,"{""type"":""Point"",""coordinates"":[77.98944001482889,9.909980316717489]}",Zaid,madurai,COTTON
000200000000000002bc,115,India,1508,Tamil Nadu,70247,Nagapattinam,NO,3000,0.51515,0.182000003289431,Member State,1997,0.406509471093,5.4647335396,67,"{""type"":""Point"",""coordinates"":[79.63338996271419,10.765238912787089]}",Zaid,nagapattinam,PADDY
000200000000000002bd,115,India,1508,Tamil Nadu,70248,Namakkal,NO,3000,0.3172,0.274000003002584,Member State,1997,0.281601794604,3.49490094095,72,"{""type"":""Point"",""coordinates"":[78.12246659662145,11.305292265419643]}",Zaid,namakkal,MAIZE
000200000000000002be,115,India,1508,Tamil Nadu,70249,Perambalur,NO,3000,0.341133333333333,0.212000008439645,Member State,2000,0.145065756445,2.51442935519,73,"{""type"":""Point"",""coordinates"":[78.8777618615482,11.26046922156273]}",Zaid,perambalur,MAIZE
000200000000000002bf,115,India,1508,Tamil Nadu,70250,Theni,NO,3000,0.445133333333333,0.303000010084361,Member State,1997,0.234535578002,2.88847241866,68,"{""type"":""Point"",""coordinates"":[77.4238789936379,9.880687566284006]}",Zaid,theni,VEGETABLES
000200000000000002c0,115,India,1508,Tamil Nadu,70251,Thiruvallur,NO,3000,0.4558,0.0580000033369288,Member State,1999,0.270349132277,5.26775872002,69,"{""type"":""Point"",""coordinates"":[79.92602574267039,13.230708639852937]}",Zaid,tiruvallur,VEGETABLES
000200000000000002c1,115,India,1508,Tamil Nadu,70253,Tiruvannamalai,NO,3000,0.48865,0.120000006281771,Member State,1990,0.514078546949,5.95693190757,70,"{""type"":""Point"",""coordinates"":[79.15420093894075,12.418635423355264]}",Zaid,tiruvannamalai,MILLET
000200000000000002c2,115,India,1508,Tamil Nadu,70254,Vellore,NO,3000,0.552266666666667,0.143000000738539,Member State,1990,0.50516866991,6.27451305635,65,"{""type"":""Point"",""coordinates"":[78.99775851803234,12.800712166390312]}",Zaid,vellore,MILLET
000200000000000002c3,115,India,1508,Tamil Nadu,70255,Villupuram,NO,3000,0.444266666666667,0.122000006842427,Member State,1994,0.60588744979,6.63325505336,70,"{""type"":""Point"",""coordinates"":[79.28475680597683,11.960558090339307]}",Zaid,villupuram,MILLET
